q_id,u_id,timestamp
10444659,0,2012-08-05T21:50:04
4106884,0,2012-08-05T21:50:05
10394437,0,2012-08-05T21:50:18
8968792,0,2012-08-05T21:50:29
10444659,0,2012-08-05T21:50:44
3934336,0,2012-08-05T21:50:48
3721481,0,2012-08-05T21:51:02
8601056,0,2012-08-05T21:51:03
3721542,0,2012-08-05T21:51:05
10444659,0,2012-08-05T21:51:19
9539662,0,2012-08-05T21:51:19
10445824,0,2012-08-05T21:51:26
3721542,0,2012-08-05T21:51:42
3222873,0,2012-08-05T21:51:43
10445825,0,2012-08-05T21:51:47
10445826,0,2012-08-05T21:51:53
10296091,58328769,2012-08-05T21:52:13
3897328,0,2012-08-05T21:52:18
10444659,0,2012-08-05T21:52:29
3944088,0,2012-08-05T21:52:31
3945865,0,2012-08-05T21:52:54
10444659,0,2012-08-05T21:53:35
3945894,0,2012-08-05T21:53:57
3945895,0,2012-08-05T21:54:14
6618125,0,2012-08-05T21:54:47
3945896,0,2012-08-05T21:54:48
10444659,0,2012-08-05T21:54:51
4106884,0,2012-08-05T21:55:03
7084603,0,2012-08-05T21:55:36
8598977,0,2012-08-05T21:55:58
10444659,0,2012-08-05T21:56:00
10444659,0,2012-08-05T21:56:06
3721481,0,2012-08-05T21:56:18
3721542,0,2012-08-05T21:56:28
10445827,0,2012-08-05T21:56:45
3897018,0,2012-08-05T21:56:48
7053643,0,2012-08-05T21:57:01
10444659,0,2012-08-05T21:57:07
9603245,0,2012-08-05T21:57:08
6300724,0,2012-08-05T21:57:17
10445828,0,2012-08-05T21:57:23
6300730,0,2012-08-05T21:57:28
7064368,0,2012-08-05T21:57:39
10379502,0,2012-08-05T21:57:57
10444659,0,2012-08-05T21:58:23
10444659,0,2012-08-05T21:58:38
10445829,0,2012-08-05T21:58:47
10445829,0,2012-08-05T21:58:50
10379558,0,2012-08-05T21:58:54
10379729,0,2012-08-05T21:59:07
10379808,0,2012-08-05T21:59:18
4055069,0,2012-08-05T21:59:24
10444659,0,2012-08-05T21:59:30
10379809,0,2012-08-05T21:59:36
10379810,0,2012-08-05T21:59:44
4312391,0,2012-08-05T21:59:56
10445830,0,2012-08-05T21:59:59
4106884,0,2012-08-05T22:00:04
10444659,0,2012-08-05T22:00:38
7189940,0,2012-08-05T22:01:13
10445831,0,2012-08-05T22:01:17
6799104,0,2012-08-05T22:01:27
3721542,0,2012-08-05T22:01:38
10444659,0,2012-08-05T22:01:55
4231887,0,2012-08-05T22:02:08
4121993,0,2012-08-05T22:02:25
10445832,0,2012-08-05T22:02:42
10426972,0,2012-08-05T22:02:55
10444659,0,2012-08-05T22:03:00
10426974,0,2012-08-05T22:03:50
9603245,0,2012-08-05T22:03:50
10444659,0,2012-08-05T22:04:00
10444659,0,2012-08-05T22:04:10
10445833,0,2012-08-05T22:04:48
10433667,0,2012-08-05T22:04:51
3721481,0,2012-08-05T22:04:56
4106884,0,2012-08-05T22:05:08
10444659,0,2012-08-05T22:05:27
7129591,0,2012-08-05T22:05:36
3721481,0,2012-08-05T22:06:14
3721542,0,2012-08-05T22:06:17
10444659,0,2012-08-05T22:06:31
10444659,0,2012-08-05T22:06:33
10444659,0,2012-08-05T22:07:41
10445834,0,2012-08-05T22:08:16
10444659,0,2012-08-05T22:08:59
3939809,0,2012-08-05T22:09:24
10445835,0,2012-08-05T22:09:42
3939809,0,2012-08-05T22:09:42
10445836,0,2012-08-05T22:09:54
3939809,0,2012-08-05T22:09:54
3897328,0,2012-08-05T22:09:55
9916236,0,2012-08-05T22:09:56
3939810,0,2012-08-05T22:10:00
10444659,0,2012-08-05T22:10:02
4106884,0,2012-08-05T22:10:03
3944088,0,2012-08-05T22:10:08
3945865,0,2012-08-05T22:10:17
3939811,0,2012-08-05T22:10:19
7067174,0,2012-08-05T22:10:23
9916236,0,2012-08-05T22:10:27
3945894,0,2012-08-05T22:10:28
3939811,0,2012-08-05T22:10:41
3692106,0,2012-08-05T22:10:52
10445837,0,2012-08-05T22:11:02
9471287,0,2012-08-05T22:11:03
10444659,0,2012-08-05T22:11:13
9471287,0,2012-08-05T22:11:13
10445838,0,2012-08-05T22:11:24
7184239,0,2012-08-05T22:11:25
10445839,0,2012-08-05T22:11:54
10444659,0,2012-08-05T22:11:54
3939811,0,2012-08-05T22:11:55
3939811,0,2012-08-05T22:12:08
3992117,0,2012-08-05T22:12:14
10444659,0,2012-08-05T22:12:30
3992117,0,2012-08-05T22:13:22
10444659,0,2012-08-05T22:13:32
10445840,0,2012-08-05T22:13:39
3992117,0,2012-08-05T22:13:48
3721498,0,2012-08-05T22:13:56
8601056,0,2012-08-05T22:14:18
10444659,0,2012-08-05T22:14:26
9660460,0,2012-08-05T22:14:29
